date,id_sku,salesvolume
2009-05-15,15604,0
2009-05-15,46902,1
2009-05-15,59042,3
2009-05-15,415514,1
2009-05-15,415824,2
2009-05-16,15604,0
2009-05-16,46902,0
2009-05-16,59042,0
2009-05-16,415514,0
2009-05-16,415824,0
2009-05-17,15604,0
2009-05-17,46902,1
2009-05-17,59042,0
2009-05-17,415514,1
2009-05-17,415824,0
2009-05-18,15604,0
2009-05-18,46902,3
2009-05-18,59042,3
2009-05-18,415514,1
2009-05-18,415824,0
2009-05-19,15604,0
2009-05-19,46902,0
2009-05-19,59042,2
2009-05-19,415514,0
2009-05-19,415824,0
2009-05-20,15604,0
2009-05-20,46902,1
2009-05-20,59042,1
2009-05-20,415514,3
2009-05-20,415824,0
2009-05-21,15604,0
2009-05-21,46902,0
2009-05-21,59042,1
2009-05-21,415514,0
2009-05-21,415824,1
2009-05-22,15604,0
2009-05-22,46902,3
2009-05-22,59042,5
2009-05-22,415514,0
2009-05-22,415824,0
2009-05-23,15604,0
2009-05-23,46902,2
2009-05-23,59042,6
2009-05-23,415514,1
2009-05-23,415824,0
2009-05-24,15604,0
2009-05-24,46902,2
2009-05-24,59042,0
2009-05-24,415514,1
2009-05-24,415824,0
2009-05-25,15604,1
2009-05-25,46902,1
2009-05-25,59042,0
2009-05-25,415514,0
2009-05-25,415824,0
2009-05-26,15604,2
2009-05-26,46902,1
2009-05-26,59042,0
2009-05-26,415514,0
2009-05-26,415824,0
2009-05-27,15604,1
2009-05-27,46902,0
2009-05-27,59042,0
2009-05-27,415514,0
2009-05-27,415824,0
2009-05-28,15604,2
2009-05-28,46902,4
2009-05-28,59042,1
2009-05-28,415514,0
2009-05-28,415824,0
2009-05-29,15604,0
2009-05-29,46902,2
2009-05-29,59042,1
2009-05-29,415514,3
2009-05-29,415824,0
2009-05-30,15604,0
2009-05-30,46902,3
2009-05-30,59042,2
2009-05-30,415514,1
2009-05-30,415824,0
2009-05-31,15604,2
2009-05-31,46902,1
2009-05-31,59042,1
2009-05-31,415514,0
2009-05-31,415824,0
2009-06-01,15604,0
2009-06-01,46902,0
2009-06-01,59042,3
2009-06-01,362058,2
2009-06-01,415514,1
2009-06-01,415824,2
2009-06-02,15604,2
2009-06-02,46902,2
2009-06-02,59042,2
2009-06-02,362058,0
2009-06-02,415514,0
2009-06-02,415824,1
2009-06-03,15604,1
2009-06-03,46902,0
2009-06-03,59042,2
2009-06-03,362058,1
2009-06-03,415514,1
2009-06-03,415824,0
2009-06-04,15604,0
2009-06-04,46902,2
2009-06-04,59042,1
2009-06-04,362058,0
2009-06-04,415514,0
2009-06-04,415824,0
2009-06-05,15604,2
2009-06-05,46902,1
2009-06-05,59042,1
2009-06-05,362058,1
2009-06-05,415514,0
2009-06-05,415824,1
2009-06-06,15604,2
2009-06-06,46902,0
2009-06-06,59042,1
2009-06-06,362058,2
2009-06-06,415514,1
2009-06-06,415824,1
2009-06-07,15604,0
2009-06-07,46902,0
2009-06-07,59042,2
2009-06-07,362058,0
2009-06-07,415514,1
2009-06-07,415824,1
2009-06-08,15604,1
2009-06-08,46902,1
2009-06-08,59042,0
2009-06-08,362058,1
2009-06-08,415514,0
2009-06-08,415824,0
2009-06-09,15604,1
2009-06-09,46902,2
2009-06-09,59042,1
2009-06-09,362058,0
2009-06-09,415514,1
2009-06-09,415824,0
2009-06-10,15604,3
2009-06-10,46902,1
2009-06-10,59042,1
